변환,USD,주식
2010-01-04,1161,4214400000000
2010-01-05,1150,6694100000000
2010-01-06,1140,6281900000000
2010-01-07,1133.8,7377700000000
2010-01-08,1137.6,6785200000000
2010-01-11,1125,6772700000000
2010-01-12,1119,5154900000000
2010-01-13,1124,5155200000000
2010-01-14,1122,6112400000000
2010-01-15,1121.7,6375100000000
2010-01-18,1127,6225700000000
2010-01-19,1124.5,5576700000000
2010-01-20,1128,7155200000000
2010-01-21,1143,5655400000000
2010-01-22,1150,6510100000000
2010-01-25,1152.5,5739600000000
2010-01-26,1146,6030600000000
2010-01-27,1158,5637800000000
2010-01-28,1161,5372600000000
2010-01-29,1154.8,5610300000000
2010-02-01,1163.7,5035900000000
2010-02-02,1158,4936700000000
2010-02-03,1154.7,4387900000000
2010-02-04,1153.4,4031100000000
2010-02-05,1176,4866800000000
2010-02-08,1172,4176700000000
2010-02-09,1172.5,4304500000000
2010-02-10,1159,4017900000000
2010-02-11,1162.5,4304000000000
2010-02-12,1153,4167900000000
2010-02-16,1157.5,2687700000000
2010-02-17,1146,4008200000000
2010-02-18,1145,3193900000000
2010-02-19,1156.6,3691000000000
2010-02-22,1151,3388900000000
2010-02-23,1148.5,3412600000000
2010-02-24,1157,3805800000000
2010-02-25,1152,3892500000000
2010-02-26,1164,3106600000000
2010-03-02,1154,4033600000000
2010-03-03,1147,3198000000000
2010-03-04,1142.5,3257500000000
2010-03-05,1143,3259100000000
2010-03-08,1136,4699900000000
2010-03-09,1132.5,4344100000000
2010-03-10,1133.5,3811200000000
2010-03-11,1127.5,4693500000000
2010-03-12,1132,3589600000000
2010-03-15,1128.5,3282200000000
2010-03-16,1134,3947200000000
2010-03-17,1132,5640500000000
2010-03-18,1130,4724100000000
2010-03-19,1134,4135200000000
2010-03-22,1136,3731200000000
2010-03-23,1135,4615700000000
2010-03-24,1135,4423200000000
2010-03-25,1141,4436100000000
2010-03-26,1147,4056300000000
2010-03-29,1141.5,4039800000000
2010-03-30,1133,4603500000000
2010-03-31,1132,4773000000000
2010-04-01,1131,5675700000000
2010-04-02,1124,5998500000000
2010-04-05,1127,5431600000000
2010-04-06,1121.2,4744200000000
2010-04-07,1122,5304900000000
2010-04-08,1122,4467700000000
2010-04-09,1122,4765400000000
2010-04-12,1118,5646900000000
2010-04-13,1117,4286500000000
2010-04-14,1123.8,5653500000000
2010-04-15,1110,6706500000000
2010-04-16,1111,4835800000000
2010-04-19,1115,4322700000000
2010-04-20,1117,4799000000000
2010-04-21,1113,5970800000000
2010-04-22,1108.8,5669500000000
2010-04-23,1111,5443900000000
2010-04-26,1109,5161700000000
2010-04-27,1105.5,5389200000000
2010-04-28,1120.5,6362500000000
2010-04-29,1115.5,6447500000000
2010-04-30,1110.5,6560700000000
2010-05-03,1112,5431400000000
2010-05-04,1112,5240300000000
2010-05-06,1142,6220700000000
2010-05-07,1166,7350400000000
2010-05-10,1145,5392800000000
2010-05-11,1130,6407700000000
2010-05-12,1138,7172300000000
2010-05-13,1136,5892900000000
2010-05-14,1135,6623900000000
2010-05-17,1146,6994800000000
2010-05-18,1152,6705400000000
2010-05-19,1160,6641700000000
2010-05-20,1169.5,6414800000000
2010-05-24,1212.9,4708000000000
2010-05-25,1224,6697200000000
2010-05-26,1245,6439300000000
2010-05-27,1242,6207800000000
2010-05-28,1208,5857900000000
2010-05-31,1224,4285900000000
2010-06-01,1203,4754000000000
2010-06-03,1205,5095200000000
2010-06-04,1212,4971500000000
2010-06-07,1228,4802100000000
2010-06-08,1244,4848300000000
2010-06-09,1232,5271800000000
2010-06-10,1254,5308100000000
2010-06-11,1239,5279600000000
2010-06-14,1240,4665400000000
2010-06-15,1222,4619300000000
2010-06-16,1210,5428600000000
2010-06-17,1214,5452000000000
2010-06-18,1209.9,4309500000000
2010-06-21,1180,5893500000000
2010-06-22,1184.3,5177000000000
2010-06-23,1193,4683900000000
2010-06-24,1188,4278700000000
2010-06-25,1203,4590500000000
2010-06-28,1203,3940400000000
2010-06-29,1203,4863600000000
2010-06-30,1233,5267200000000
2010-07-01,1233,5692700000000
2010-07-02,1223,5415700000000
2010-07-05,1229,4075700000000
2010-07-06,1232,4787500000000
2010-07-07,1216,4539500000000
2010-07-08,1215,5013600000000
2010-07-09,1205,5460700000000
2010-07-12,1195,4556000000000
2010-07-13,1201.2,5544600000000
2010-07-14,1196.5,7952200000000
2010-07-15,1200,5283800000000
2010-07-16,1196,5928000000000
2010-07-19,1218,4485600000000
2010-07-20,1216.5,4796100000000
2010-07-21,1203,5723700000000
2010-07-22,1208.5,6916000000000
2010-07-23,1197,6867800000000
2010-07-26,1197,5023300000000
2010-07-27,1187,5166400000000
2010-07-28,1185,5163000000000
2010-07-29,1191,5247200000000
2010-07-30,1188.5,5237100000000
2010-08-02,1182.5,5716500000000
2010-08-03,1167,5471100000000
2010-08-04,1168,5650500000000
2010-08-05,1165,6131000000000
2010-08-06,1169.4,5542500000000
2010-08-09,1158.7,4048100000000
2010-08-10,1162.5,4864000000000
2010-08-11,1173,5305000000000
2010-08-12,1196,5300300000000
2010-08-13,1187,4356100000000
2010-08-16,1190,4080100000000
2010-08-17,1184,4388400000000
2010-08-18,1174.5,4939900000000
2010-08-19,1175,5160700000000
2010-08-20,1180,4563900000000
2010-08-23,1183,5208400000000
2010-08-24,1187,4984900000000
2010-08-25,1196.1,4658900000000
2010-08-26,1199.5,4520900000000
2010-08-27,1197.1,4017000000000
2010-08-30,1188,3875500000000
2010-08-31,1198,4985700000000
2010-09-01,1197.5,5746400000000
2010-09-02,1179,5552200000000
2010-09-03,1179.8,5948200000000
2010-09-06,1171,5346100000000
2010-09-07,1174.5,4724200000000
2010-09-08,1180,4898200000000
2010-09-09,1169,5964900000000
2010-09-10,1165,5485400000000
2010-09-13,1163,6493500000000
2010-09-14,1159,6700900000000
2010-09-15,1157.5,6511400000000
2010-09-16,1159,5655600000000
2010-09-17,1165,6341300000000
2010-09-20,1159,4050900000000
2010-09-24,1154,5497400000000
2010-09-27,1149,6866400000000
2010-09-28,1148,6266700000000
2010-09-29,1148,7052900000000
2010-09-30,1140,6181200000000
2010-10-01,1139,6575700000000
2010-10-04,1127.8,6928500000000
2010-10-05,1128,6415900000000
2010-10-06,1120,7309800000000
2010-10-07,1117,7385800000000
2010-10-08,1122.5,6205300000000
2010-10-11,1114,5928700000000
2010-10-12,1124,5753900000000
2010-10-13,1122,5898400000000
2010-10-14,1116,7328400000000
2010-10-15,1113,5943200000000
2010-10-18,1113.5,5576000000000
2010-10-19,1116,5538100000000
2010-10-20,1140,5812800000000
2010-10-21,1121.1,6364500000000
2010-10-22,1132.5,5799400000000
2010-10-25,1121.7,6462900000000
2010-10-26,1118,6368400000000
2010-10-27,1122,6679900000000
2010-10-28,1131,5393300000000
2010-10-29,1119.5,5947500000000
