변환,원자료
2010-01-04,"4,214,400,000,000"
2010-01-05,"6,694,100,000,000"
2010-01-06,"6,281,900,000,000"
2010-01-07,"7,377,700,000,000"
2010-01-08,"6,785,200,000,000"
2010-01-11,"6,772,700,000,000"
2010-01-12,"5,154,900,000,000"
2010-01-13,"5,155,200,000,000"
2010-01-14,"6,112,400,000,000"
2010-01-15,"6,375,100,000,000"
2010-01-18,"6,225,700,000,000"
2010-01-19,"5,576,700,000,000"
2010-01-20,"7,155,200,000,000"
2010-01-21,"5,655,400,000,000"
2010-01-22,"6,510,100,000,000"
2010-01-25,"5,739,600,000,000"
2010-01-26,"6,030,600,000,000"
2010-01-27,"5,637,800,000,000"
2010-01-28,"5,372,600,000,000"
2010-01-29,"5,610,300,000,000"
2010-02-01,"5,035,900,000,000"
2010-02-02,"4,936,700,000,000"
2010-02-03,"4,387,900,000,000"
2010-02-04,"4,031,100,000,000"
2010-02-05,"4,866,800,000,000"
2010-02-08,"4,176,700,000,000"
2010-02-09,"4,304,500,000,000"
2010-02-10,"4,017,900,000,000"
2010-02-11,"4,304,000,000,000"
2010-02-12,"4,167,900,000,000"
2010-02-16,"2,687,700,000,000"
2010-02-17,"4,008,200,000,000"
2010-02-18,"3,193,900,000,000"
2010-02-19,"3,691,000,000,000"
2010-02-22,"3,388,900,000,000"
2010-02-23,"3,412,600,000,000"
2010-02-24,"3,805,800,000,000"
2010-02-25,"3,892,500,000,000"
2010-02-26,"3,106,600,000,000"
2010-03-02,"4,033,600,000,000"
2010-03-03,"3,198,000,000,000"
2010-03-04,"3,257,500,000,000"
2010-03-05,"3,259,100,000,000"
2010-03-08,"4,699,900,000,000"
2010-03-09,"4,344,100,000,000"
2010-03-10,"3,811,200,000,000"
2010-03-11,"4,693,500,000,000"
2010-03-12,"3,589,600,000,000"
2010-03-15,"3,282,200,000,000"
2010-03-16,"3,947,200,000,000"
2010-03-17,"5,640,500,000,000"
2010-03-18,"4,724,100,000,000"
2010-03-19,"4,135,200,000,000"
2010-03-22,"3,731,200,000,000"
2010-03-23,"4,615,700,000,000"
2010-03-24,"4,423,200,000,000"
2010-03-25,"4,436,100,000,000"
2010-03-26,"4,056,300,000,000"
2010-03-29,"4,039,800,000,000"
2010-03-30,"4,603,500,000,000"
2010-03-31,"4,773,000,000,000"
2010-04-01,"5,675,700,000,000"
2010-04-02,"5,998,500,000,000"
2010-04-05,"5,431,600,000,000"
2010-04-06,"4,744,200,000,000"
2010-04-07,"5,304,900,000,000"
2010-04-08,"4,467,700,000,000"
2010-04-09,"4,765,400,000,000"
2010-04-12,"5,646,900,000,000"
2010-04-13,"4,286,500,000,000"
2010-04-14,"5,653,500,000,000"
2010-04-15,"6,706,500,000,000"
2010-04-16,"4,835,800,000,000"
2010-04-19,"4,322,700,000,000"
2010-04-20,"4,799,000,000,000"
2010-04-21,"5,970,800,000,000"
2010-04-22,"5,669,500,000,000"
2010-04-23,"5,443,900,000,000"
2010-04-26,"5,161,700,000,000"
2010-04-27,"5,389,200,000,000"
2010-04-28,"6,362,500,000,000"
2010-04-29,"6,447,500,000,000"
2010-04-30,"6,560,700,000,000"
2010-05-03,"5,431,400,000,000"
2010-05-04,"5,240,300,000,000"
2010-05-06,"6,220,700,000,000"
2010-05-07,"7,350,400,000,000"
2010-05-10,"5,392,800,000,000"
2010-05-11,"6,407,700,000,000"
2010-05-12,"7,172,300,000,000"
2010-05-13,"5,892,900,000,000"
2010-05-14,"6,623,900,000,000"
2010-05-17,"6,994,800,000,000"
2010-05-18,"6,705,400,000,000"
2010-05-19,"6,641,700,000,000"
2010-05-20,"6,414,800,000,000"
2010-05-24,"4,708,000,000,000"
2010-05-25,"6,697,200,000,000"
2010-05-26,"6,439,300,000,000"
2010-05-27,"6,207,800,000,000"
2010-05-28,"5,857,900,000,000"
2010-05-31,"4,285,900,000,000"
2010-06-01,"4,754,000,000,000"
2010-06-03,"5,095,200,000,000"
2010-06-04,"4,971,500,000,000"
2010-06-07,"4,802,100,000,000"
2010-06-08,"4,848,300,000,000"
2010-06-09,"5,271,800,000,000"
2010-06-10,"5,308,100,000,000"
2010-06-11,"5,279,600,000,000"
2010-06-14,"4,665,400,000,000"
2010-06-15,"4,619,300,000,000"
2010-06-16,"5,428,600,000,000"
2010-06-17,"5,452,000,000,000"
2010-06-18,"4,309,500,000,000"
2010-06-21,"5,893,500,000,000"
2010-06-22,"5,177,000,000,000"
2010-06-23,"4,683,900,000,000"
2010-06-24,"4,278,700,000,000"
2010-06-25,"4,590,500,000,000"
2010-06-28,"3,940,400,000,000"
2010-06-29,"4,863,600,000,000"
2010-06-30,"5,267,200,000,000"
2010-07-01,"5,692,700,000,000"
2010-07-02,"5,415,700,000,000"
2010-07-05,"4,075,700,000,000"
2010-07-06,"4,787,500,000,000"
2010-07-07,"4,539,500,000,000"
2010-07-08,"5,013,600,000,000"
2010-07-09,"5,460,700,000,000"
2010-07-12,"4,556,000,000,000"
2010-07-13,"5,544,600,000,000"
2010-07-14,"7,952,200,000,000"
2010-07-15,"5,283,800,000,000"
2010-07-16,"5,928,000,000,000"
2010-07-19,"4,485,600,000,000"
2010-07-20,"4,796,100,000,000"
2010-07-21,"5,723,700,000,000"
2010-07-22,"6,916,000,000,000"
2010-07-23,"6,867,800,000,000"
2010-07-26,"5,023,300,000,000"
2010-07-27,"5,166,400,000,000"
2010-07-28,"5,163,000,000,000"
2010-07-29,"5,247,200,000,000"
2010-07-30,"5,237,100,000,000"
2010-08-02,"5,716,500,000,000"
2010-08-03,"5,471,100,000,000"
2010-08-04,"5,650,500,000,000"
2010-08-05,"6,131,000,000,000"
2010-08-06,"5,542,500,000,000"
2010-08-09,"4,048,100,000,000"
2010-08-10,"4,864,000,000,000"
2010-08-11,"5,305,000,000,000"
2010-08-12,"5,300,300,000,000"
2010-08-13,"4,356,100,000,000"
2010-08-16,"4,080,100,000,000"
2010-08-17,"4,388,400,000,000"
2010-08-18,"4,939,900,000,000"
2010-08-19,"5,160,700,000,000"
2010-08-20,"4,563,900,000,000"
2010-08-23,"5,208,400,000,000"
2010-08-24,"4,984,900,000,000"
2010-08-25,"4,658,900,000,000"
2010-08-26,"4,520,900,000,000"
2010-08-27,"4,017,000,000,000"
2010-08-30,"3,875,500,000,000"
2010-08-31,"4,985,700,000,000"
2010-09-01,"5,746,400,000,000"
2010-09-02,"5,552,200,000,000"
2010-09-03,"5,948,200,000,000"
2010-09-06,"5,346,100,000,000"
2010-09-07,"4,724,200,000,000"
2010-09-08,"4,898,200,000,000"
2010-09-09,"5,964,900,000,000"
2010-09-10,"5,485,400,000,000"
2010-09-13,"6,493,500,000,000"
2010-09-14,"6,700,900,000,000"
2010-09-15,"6,511,400,000,000"
2010-09-16,"5,655,600,000,000"
2010-09-17,"6,341,300,000,000"
2010-09-20,"4,050,900,000,000"
2010-09-24,"5,497,400,000,000"
2010-09-27,"6,866,400,000,000"
2010-09-28,"6,266,700,000,000"
2010-09-29,"7,052,900,000,000"
2010-09-30,"6,181,200,000,000"
2010-10-01,"6,575,700,000,000"
2010-10-04,"6,928,500,000,000"
2010-10-05,"6,415,900,000,000"
2010-10-06,"7,309,800,000,000"
2010-10-07,"7,385,800,000,000"
2010-10-08,"6,205,300,000,000"
2010-10-11,"5,928,700,000,000"
2010-10-12,"5,753,900,000,000"
2010-10-13,"5,898,400,000,000"
2010-10-14,"7,328,400,000,000"
2010-10-15,"5,943,200,000,000"
2010-10-18,"5,576,000,000,000"
2010-10-19,"5,538,100,000,000"
2010-10-20,"5,812,800,000,000"
2010-10-21,"6,364,500,000,000"
2010-10-22,"5,799,400,000,000"
2010-10-25,"6,462,900,000,000"
2010-10-26,"6,368,400,000,000"
2010-10-27,"6,679,900,000,000"
2010-10-28,"5,393,300,000,000"
2010-10-29,"5,947,500,000,000"
2010-11-01,"5,937,000,000,000"
2010-11-02,"6,359,300,000,000"
2010-11-03,"6,815,500,000,000"
2010-11-04,"6,400,000,000,000"
2010-11-05,"7,815,300,000,000"
2010-11-08,"5,381,100,000,000"
2010-11-09,"5,404,000,000,000"
2010-11-10,"6,225,600,000,000"
2010-11-11,"9,324,600,000,000"
2010-11-12,"8,408,700,000,000"
2010-11-15,"5,993,300,000,000"
2010-11-16,"6,918,100,000,000"
2010-11-17,"5,716,000,000,000"
2010-11-18,"5,219,500,000,000"
2010-11-19,"5,969,900,000,000"
2010-11-22,"7,305,500,000,000"
2010-11-23,"6,920,400,000,000"
2010-11-24,"7,965,200,000,000"
2010-11-25,"5,610,700,000,000"
2010-11-26,"5,728,400,000,000"
2010-11-29,"4,503,600,000,000"
2010-11-30,"5,950,900,000,000"
2010-12-01,"4,878,700,000,000"
2010-12-02,"5,787,000,000,000"
2010-12-03,"6,560,000,000,000"
2010-12-06,"5,403,500,000,000"
2010-12-07,"6,159,700,000,000"
2010-12-08,"5,412,700,000,000"
2010-12-09,"6,770,500,000,000"
2010-12-10,"5,236,600,000,000"
2010-12-13,"5,055,500,000,000"
2010-12-14,"6,338,000,000,000"
2010-12-15,"6,486,700,000,000"
2010-12-16,"5,324,000,000,000"
2010-12-17,"6,802,700,000,000"
2010-12-20,"7,045,800,000,000"
2010-12-21,"7,226,100,000,000"
2010-12-22,"6,023,100,000,000"
2010-12-23,"5,101,200,000,000"
2010-12-24,"4,714,300,000,000"
2010-12-27,"5,074,200,000,000"
2010-12-28,"5,625,800,000,000"
2010-12-29,"4,967,800,000,000"
2010-12-30,"5,246,100,000,000"
2010-12-31,
2011-01-03,"5,780,500,000,000"
2011-01-04,"7,653,000,000,000"
2011-01-05,"8,451,400,000,000"
2011-01-06,"8,650,700,000,000"
2011-01-07,"7,575,300,000,000"
2011-01-10,"7,194,100,000,000"
