변환,원자료
2010-01-04,"1,161"
2010-01-05,"1,150"
2010-01-06,"1,140"
2010-01-07,"1,133.80"
2010-01-08,"1,137.60"
2010-01-11,"1,125"
2010-01-12,"1,119"
2010-01-13,"1,124"
2010-01-14,"1,122"
2010-01-15,"1,121.70"
2010-01-18,"1,127"
2010-01-19,"1,124.50"
2010-01-20,"1,128"
2010-01-21,"1,143"
2010-01-22,"1,150"
2010-01-25,"1,152.50"
2010-01-26,"1,146"
2010-01-27,"1,158"
2010-01-28,"1,161"
2010-01-29,"1,154.80"
2010-02-01,"1,163.70"
2010-02-02,"1,158"
2010-02-03,"1,154.70"
2010-02-04,"1,153.40"
2010-02-05,"1,176"
2010-02-08,"1,172"
2010-02-09,"1,172.50"
2010-02-10,"1,159"
2010-02-11,"1,162.50"
2010-02-12,"1,153"
2010-02-16,"1,157.50"
2010-02-17,"1,146"
2010-02-18,"1,145"
2010-02-19,"1,156.60"
2010-02-22,"1,151"
2010-02-23,"1,148.50"
2010-02-24,"1,157"
2010-02-25,"1,152"
2010-02-26,"1,164"
2010-03-02,"1,154"
2010-03-03,"1,147"
2010-03-04,"1,142.50"
2010-03-05,"1,143"
2010-03-08,"1,136"
2010-03-09,"1,132.50"
2010-03-10,"1,133.50"
2010-03-11,"1,127.50"
2010-03-12,"1,132"
2010-03-15,"1,128.50"
2010-03-16,"1,134"
2010-03-17,"1,132"
2010-03-18,"1,130"
2010-03-19,"1,134"
2010-03-22,"1,136"
2010-03-23,"1,135"
2010-03-24,"1,135"
2010-03-25,"1,141"
2010-03-26,"1,147"
2010-03-29,"1,141.50"
2010-03-30,"1,133"
2010-03-31,"1,132"
2010-04-01,"1,131"
2010-04-02,"1,124"
2010-04-05,"1,127"
2010-04-06,"1,121.20"
2010-04-07,"1,122"
2010-04-08,"1,122"
2010-04-09,"1,122"
2010-04-12,"1,118"
2010-04-13,"1,117"
2010-04-14,"1,123.80"
2010-04-15,"1,110"
2010-04-16,"1,111"
2010-04-19,"1,115"
2010-04-20,"1,117"
2010-04-21,"1,113"
2010-04-22,"1,108.80"
2010-04-23,"1,111"
2010-04-26,"1,109"
2010-04-27,"1,105.50"
2010-04-28,"1,120.50"
2010-04-29,"1,115.50"
2010-04-30,"1,110.50"
2010-05-03,"1,112"
2010-05-04,"1,112"
2010-05-06,"1,142"
2010-05-07,"1,166"
2010-05-10,"1,145"
2010-05-11,"1,130"
2010-05-12,"1,138"
2010-05-13,"1,136"
2010-05-14,"1,135"
2010-05-17,"1,146"
2010-05-18,"1,152"
2010-05-19,"1,160"
2010-05-20,"1,169.50"
2010-05-24,"1,212.90"
2010-05-25,"1,224"
2010-05-26,"1,245"
2010-05-27,"1,242"
2010-05-28,"1,208"
2010-05-31,"1,224"
2010-06-01,"1,203"
2010-06-03,"1,205"
2010-06-04,"1,212"
2010-06-07,"1,228"
2010-06-08,"1,244"
2010-06-09,"1,232"
2010-06-10,"1,254"
2010-06-11,"1,239"
2010-06-14,"1,240"
2010-06-15,"1,222"
2010-06-16,"1,210"
2010-06-17,"1,214"
2010-06-18,"1,209.90"
2010-06-21,"1,180"
2010-06-22,"1,184.30"
2010-06-23,"1,193"
2010-06-24,"1,188"
2010-06-25,"1,203"
2010-06-28,"1,203"
2010-06-29,"1,203"
2010-06-30,"1,233"
2010-07-01,"1,233"
2010-07-02,"1,223"
2010-07-05,"1,229"
2010-07-06,"1,232"
2010-07-07,"1,216"
2010-07-08,"1,215"
2010-07-09,"1,205"
2010-07-12,"1,195"
