모기지수 발생일,모기지수(주거지)
2024-10-31,19.2
2024-10-30,19.8
2024-10-29,17.1
2024-10-28,26.7
2024-10-27,19.8
2024-10-26,6.5
2024-10-25,2.7
2024-10-24,14.6
2024-10-23,18
2024-10-22,16
2024-10-21,26.2
2024-10-20,16.6
2024-10-19,35.3
2024-10-18,28.7
2024-10-17,29.3
2024-10-16,33.8
2024-10-15,24.2
2024-10-14,32
2024-10-13,30.8
2024-10-12,34.8
2024-10-11,32.6
2024-10-10,27.8
2024-10-09,24.1
2024-10-08,13.9
2024-10-07,29.7
2024-10-06,28.8
2024-10-05,25.2
2024-10-04,20.2
2024-10-03,24.6
2024-10-02,48.9
2024-10-01,69.5
2024-09-30,67.7
2024-09-29,67.6
2024-09-28,64.3
2024-09-27,68.9
2024-09-26,65.7
2024-09-25,63
2024-09-24,64
2024-09-23,60
2024-09-22,66.8
2024-09-21,64.4
2024-09-20,60.3
2024-09-19,61.4
2024-09-18,62.8
2024-09-17,59.7
2024-09-16,59.2
2024-09-15,50
2024-09-14,47
2024-09-13,61.3
2024-09-12,58.2
2024-09-11,59.7
2024-09-10,57.4
2024-09-09,54
2024-09-08,49.1
2024-09-07,52
2024-09-06,52.5
2024-09-05,52
2024-09-04,51.1
2024-09-03,48.5
2024-09-02,50.6
2024-09-01,55.1
2024-08-31,53
2024-08-30,51
2024-08-29,54.6
2024-08-28,60
2024-08-27,58.6
2024-08-26,59.8
2024-08-25,61.4
2024-08-24,60.7
2024-08-23,56.7
2024-08-22,53.8
2024-08-21,60.4
2024-08-20,61.4
2024-08-19,59.1
2024-08-18,58.1
2024-08-17,62.8
2024-08-16,63
2024-08-15,60
2024-08-14,60.2
2024-08-13,59.3
2024-08-12,59.8
2024-08-11,60
2024-08-10,62.7
2024-08-09,63.5
2024-08-08,64.7
2024-08-07,62.7
2024-08-06,57.8
2024-08-05,64.6
2024-08-04,69
2024-08-03,65.9
2024-08-02,69
2024-08-01,100
2024-07-31,100
2024-07-30,100
2024-07-29,100
2024-07-28,100
2024-07-27,100
2024-07-26,100
2024-07-25,100
2024-07-24,100
2024-07-23,100
2024-07-22,100
2024-07-21,100
2024-07-20,100
2024-07-19,100
2024-07-18,100
2024-07-17,100
2024-07-16,100
2024-07-15,100
2024-07-14,100
2024-07-13,100
2024-07-12,100
2024-07-11,100
2024-07-10,100
2024-07-09,100
2024-07-08,100
2024-07-07,100
2024-07-06,100
2024-07-05,100
2024-07-04,100
2024-07-03,100
2024-07-02,100
2024-07-01,85.8
2024-06-30,87.2
2024-06-29,91.8
2024-06-28,85.7
2024-06-27,83.2
2024-06-26,89.2
2024-06-25,89.6
2024-06-24,84.7
2024-06-23,92.2
2024-06-22,97.2
2024-06-21,96.2
2024-06-20,87.7
2024-06-19,84.7
2024-06-18,90.4
2024-06-17,85.9
2024-06-16,86.8
2024-06-15,87.1
2024-06-14,80.3
2024-06-13,79.5
2024-06-12,86.3
2024-06-11,82.9
2024-06-10,72
2024-06-09,75
2024-06-08,81
2024-06-07,78.3
2024-06-06,71.8
2024-06-05,73.3
2024-06-04,70.3
2024-06-03,72
2024-06-02,62.9
2024-06-01,61.9
2024-05-31,64.5
2024-05-30,66.8
2024-05-29,64.3
2024-05-28,56.1
2024-05-27,64.4
2024-05-26,60.5
2024-05-25,62.4
2024-05-24,65.2
2024-05-23,66.3
2024-05-22,58.7
2024-05-21,66.6
2024-05-20,66.2
2024-05-19,60.4
2024-05-18,50.2
2024-05-17,35.6
2024-05-16,59.3
2024-05-15,57.8
2024-05-14,56.2
2024-05-13,44.9
